2026-06-27 11:20:09.909 | DEBUG    | source=mudafy run=- target=search_results:mudafy-search-mudafy-caba-newest-page-1 | inmob.ingestion.sources.base:fetch:121 - Creating HTTP client timeout_seconds=30.0 follow_redirects=True
2026-06-27 11:20:09.908 | INFO     | source=remax run=cli-run-remax-8a4f2175 target=-:- | inmob.cli.bronze.runner:scrape_source:147 - Planned search targets count=1 builder=api_search_targets
2026-06-27 11:20:09.909 | INFO     | source=properati run=cli-run-properati-e31d29c9 target=-:- | inmob.cli.bronze.runner:_log_traffic_policy:366 - Traffic policy requests_per_minute=20 burst_size=2 retry_policy=exponential-backoff-full-jitter retry_max_attempts=3 retry_initial_delay_seconds=1.0 retry_max_delay_seconds=20.0
2026-06-27 11:20:09.909 | INFO     | source=zonaprop run=cli-run-zonaprop-d7a6894d target=-:- | inmob.cli.bronze.runner:scrape_source:147 - Planned search targets count=1 builder=search_targets
2026-06-27 11:20:09.909 | INFO     | source=remax run=cli-run-remax-8a4f2175 target=-:- | inmob.cli.bronze.runner:_log_traffic_policy:366 - Traffic policy requests_per_minute=12 burst_size=2 retry_policy=exponential-backoff-full-jitter retry_max_attempts=4 retry_initial_delay_seconds=2.0 retry_max_delay_seconds=45.0
2026-06-27 11:20:09.910 | INFO     | source=properati run=cli-run-properati-e31d29c9 target=search_results:properati-search-properati-caba-newest-page-1 | inmob.cli.bronze.runner:_discover_listing_targets:209 - Fetching search page uri=https://www.properati.com.ar/s/capital-federal/departamento/venta?sort=published_on_desc
2026-06-27 11:20:09.910 | DEBUG    | source=properati run=- target=search_results:properati-search-properati-caba-newest-page-1 | inmob.ingestion.sources.base:fetch:121 - Creating HTTP client timeout_seconds=30.0 follow_redirects=True
2026-06-27 11:20:09.910 | INFO     | source=zonaprop run=cli-run-zonaprop-d7a6894d target=-:- | inmob.cli.bronze.runner:_log_traffic_policy:366 - Traffic policy requests_per_minute=20 burst_size=2 retry_policy=exponential-backoff-full-jitter retry_max_attempts=3 retry_initial_delay_seconds=1.0 retry_max_delay_seconds=20.0
2026-06-27 11:20:09.910 | INFO     | source=remax run=cli-run-remax-8a4f2175 target=api_endpoint:remax-api-search-remax-caba-newest-page-0 | inmob.cli.bronze.runner:_discover_listing_targets:209 - Fetching search page uri=https://api-ar.redremax.com/remaxweb-ar/api/listings/findAllWithEntrepreneurships?page=0&pageSize=24&sort=-createdAt&in=operationId:1&locations=in%3ACF%40%3Cb%3ECapital%3C%2Fb%3E%20%3Cb%3EF%3C%2Fb%3Eederal%3A%3A%3A%3A%3A%3A&landingPath=comprar-propiedades
2026-06-27 11:20:09.910 | DEBUG    | source=remax run=- target=api_endpoint:remax-api-search-remax-caba-newest-page-0 | inmob.ingestion.sources.base:fetch:121 - Creating HTTP client timeout_seconds=30.0 follow_redirects=True
2026-06-27 11:20:09.910 | INFO     | source=zonaprop run=cli-run-zonaprop-d7a6894d target=search_results:zonaprop-search-zonaprop-caba-newest-page-1 | inmob.cli.bronze.runner:_discover_listing_targets:209 - Fetching search page uri=https://www.zonaprop.com.ar/departamentos-venta-capital-federal.html?sort_by=publicado-descendente
2026-06-27 11:20:09.949 | INFO     | source=zonaprop run=- target=search_results:zonaprop-search-zonaprop-caba-newest-page-1 | inmob.ingestion.sources.browser:fetch_rendered_html:126 - Fetching target via Playwright render uri=https://www.zonaprop.com.ar/departamentos-venta-capital-federal.html?sort_by=publicado-descendente reveal_enabled=False
